#alt[cm],H+[cm-3]
8044000,2.0362E-05
8377600,2.5292E-05
8794200,3.316E-05
9043800,3.9E-05
9293100,4.587E-05
9375400,4.839E-05
9540700,5.389E-05
9706300,6.003E-05
9760700,6.219E-05
9898600,6.803E-05
10036500,7.442E-05
10202300,8.291E-05
10451500,9.753E-05
10812100,0.00012338
11228700,0.0001619
11756800,0.00022856
12312800,0.0003287
12673900,0.0004163
13062600,0.0005369
13451400,0.0006928
13868400,0.0009108
14257700,0.0011761
14953300,0.001859
15593300,0.002836
16261100,0.004413
16928900,0.00688
17568700,0.010552
18236300,0.016546
19015400,0.028165
19822400,0.04966
20733200,0.10317
20740600,0.10391
20844000,0.11451
21010300,0.13045
21315400,0.15862
21620300,0.20055
21631100,0.20221
21925300,0.25029
22174800,0.30832
22451700,0.4161
22660800,0.5093
22756400,0.5615
23005500,0.7478
23338100,0.9833
23523300,1.1478
23643000,1.2595
24031300,1.6346
24419500,2.1213
24469300,2.1734
25002600,2.6135
25443100,2.9189
25697100,3.0565
26336400,3.138
26389000,3.133
27087200,3.0187
27418200,2.931
27754700,2.7925
28308500,2.4811
28422500,2.4204
28979000,2.1253
29115100,2.0167
29508000,1.7714
29894000,1.7026
30286600,1.682
30839500,1.6498
31148600,1.6393
31840600,1.6381
32371800,1.6401
32674800,1.6371
33372800,1.6196
33648100,1.6132
34401500,1.5993
34426600,1.5988
35260800,1.5829
35458000,1.5793
36067200,1.5688
36570100,1.5595
36818000,1.5543
37679900,1.5403
37710000,1.5401
38347300,1.5388
39016700,1.5409
39070200,1.541
39932100,1.5416
39989800,1.5415
