#alt[cm],H[cm^-3]
8080330,17811000
8087040,17690500
8106870,17339200
8111180,17263800
8113340,17226200
8127210,16986200
8129550,16946000
8151980,16565900
8171050,16249400
8499970,11650700
8828760,8312710
9000310,6970220
9003290,6948940
9050740,6618520
9174850,5826700
9177820,5808910
9258530,5346960
9307950,5082450
9329800,4969670
9393160,4715930
9396130,4704330
9433070,4562770
9438640,4541780
9462460,4453160
9466200,4439410
9492050,4345500
9567750,4081710
9570670,4071880
9595690,3988460
9607600,3949350
9613170,3931180
9623940,3896310
9712130,3622200
9753430,3500530
9768380,3457500
9786060,3407310
9788970,3399110
9825910,3296830
9831480,3281660
9887800,3132280
9963510,2942130
10000400,2853600
10004400,2844340
10006000,2840470
10030600,2783300
10178900,2461950
10181800,2456020
10218700,2382120
10224300,2371160
10233400,2353460
10239500,2341640
10291100,2243740
10356400,2154030
10380400,2122050
10393300,2104990
10397200,2099830
10398900,2097670
10451700,2029560
10567800,1887550
10573400,1880990
10574700,1879430
10601400,1848370
10615500,1832130
10626200,1819920
10679100,1760830
10747900,1686690
10749300,1685290
10786100,1646920
10800800,1631930
10833900,1598500
10960700,1476800
10966200,1471670
10967600,1470440
10975300,1463360
10993700,1446610
11008400,1433380
11052200,1394720
11135200,1324250
11140800,1319650
11142100,1318550
11193600,1276810
11211000,1263040
11226700,1250650
11314300,1184090
11315300,1183340
11353500,1155430
11360400,1150460
11368100,1144920
11381500,1135400
11427700,1103110
11488400,1076240
11489800,1075630
11528000,1059090
11534900,1056120
11542700,1052820
11560800,1045080
11644700,1010100
11706700,984990
11708100,984433
11746300,969288
11753200,966576
11761000,963549
11882700,917114
11907800,907801
11911900,906308
11920900,903005
11925000,901474
11927800,900478
11935500,897658
11954600,890738
12042700,859445
12127500,830381
12143400,825232
12146100,824357
12153800,821899
12183000,812600
12290100,779383
12328300,767869
12334500,766033
12348300,761922
12361700,757946
12389800,749704
12401300,746344
12408200,744338
12466400,727645
12480100,723776
12546600,705260
12580100,696129
12598300,691198
12619700,685473
12626600,683631
12765000,647740
12783500,643088
12798400,640762
12799800,640544
12838000,634616
12844900,633550
12871600,629440
12939600,619120
13038300,604413
13048500,602924
13060600,601151
13105800,594568
13107100,594385
13157900,587079
13257800,572974
13278900,570039
13309300,565826
13354800,559605
13369200,557640
13376200,556695
13455500,546042
13477200,543178
13483500,542333
13541000,534067
13594500,526479
13631300,521325
13660400,517297
13660700,517253
13703100,511427
13761600,503487
13812800,496636
13847100,492115
13871700,488884
13893500,486045
13966300,476671
14031200,468485
14054700,465543
14067600,463945
14096800,460338
14148500,454021
14155600,453153
14227300,444556
14249500,442157
14272300,439709
14309900,435706
14360500,430377
14410600,425153
14417400,424452
14417800,424413
14467800,419273
14589300,407060
14672800,398870
14686100,397575
14747700,391666
14798400,386858
14927300,374906
14934900,374598
14948300,374056
15015300,371357
15016600,371301
15146300,366130
15157500,365686
15166600,365328
15185400,364588
15197100,364126
15288100,360558
15385000,356801
15459200,353947
15463500,353785
15496200,352536
15506500,352143
15542300,350780
15554000,350338
15579100,349386
15583500,349223
15603300,348475
15715100,344286
15721400,344126
15760600,343127
15768600,342922
15769400,342901
15773000,342811
15802500,342063
15821700,341576
15860000,340607
15889400,339864
16027400,336406
16030800,336320
16075400,335208
16083700,335002
16122100,334049
16122900,334031
16196200,332218
16289500,329929
16292900,329845
16302100,329621
16330000,328938
16381400,327687
16428100,326555
16516500,324422
16520400,324327
16548300,323658
16551600,323577
16555100,323495
16629100,321723
16676200,320602
16731200,319297
16734100,319228
16782600,318083
16817200,317267
16857600,316317
16866400,316112
16982200,313409
17000900,312975
17037200,312132
17040100,312066
17066600,311453
17074100,311280
17079400,311159
17158500,309338
17163600,309222
17216300,308016
17219200,307948
17247000,307315
17288200,307077
17341500,306769
17343200,306760
17346000,306743
17425700,306285
17460400,306085
17481400,305964
17603700,305262
17609900,305226
17638000,305065
17649200,305001
17652000,304985
17699700,304712
17731700,304529
17854100,303829
17909600,303513
17958000,303237
17959800,303226
17961800,303215
17993800,303033
17999000,303003
18171700,302022
18180200,301974
18261300,301514
18264000,301498
18299800,301296
18353500,300992
18433900,300538
18442300,300490
18567400,299785
18570000,299770
18605800,299569
18660700,299260
18696100,299061
18703400,299020
18730700,298866
18860400,298139
18876000,298052
18917100,297822
18922800,297790
19002000,297347
19036800,297153
19097100,296816
19141100,296571
19223200,296114
19254100,295942
19264200,295886
19269500,295856
19345800,295432
19386600,295206
19526300,294432
19531700,294402
19572900,294175
19691700,293519
19783300,293014
19788400,292986
19873300,292519
19879000,292488
19881400,292474
20085400,291356
20094400,291306
20177000,290855
20179200,290843
20187500,290797
20228700,290572
20233200,290548
20348300,289920
20485200,289176
20493500,289131
20495400,289120
20534800,288906
20570800,288711
20575000,288688
20628000,288401
20698000,288022
20713800,287936
20747400,287755
20799500,287473
20840800,287250
20881000,287033
20975800,286522
21004000,286370
21021700,286275
21053400,286105
21105500,285825
21143100,285623
21190500,285369
21238000,285115
21317900,284687
21359400,284465
21415400,284166
21455300,283953
21456400,283947
21496600,283733
21529300,283558
21580100,283288
21665300,282835
21718500,282552
21761300,282325
21809000,282072
21839400,281911
21842300,281896
21846400,281874
21966800,281237
21971300,281213
21975800,281189
21980600,281164
22067300,280707
22140700,280320
22148200,280280
22196200,280028
22202800,279993
22233200,279833
22242700,279783
22277300,279602
22360600,279164
22410400,278903
22417100,278868
22490400,278484
22502200,278422
22504900,278408
22596400,277930
22672600,277533
22796500,276887
22801800,276860
22852000,276599
22946300,276109
22978500,275942
23107800,275273
23158000,275013
23240600,274586
23340000,274074
23370000,273920
23454300,273486
23466000,273426
23502800,273237
23719700,272126
23728600,272081
23733700,272054
23771800,271860
23808800,271671
23892000,271247
24025700,270566
24033900,270524
24070900,270336
24078300,270299
24127400,270049
24285700,269248
24296100,269195
24331700,269015
24384400,268749
24521100,268060
24637700,267473
24679500,267263
24734100,266989
24901200,266152
24914800,266084
24943600,265940
25040200,265458
25076900,265275
25163400,264844
25171300,264805
25249600,264415
25308500,264123
25469300,263326
25521200,263070
25555600,262900
25658400,262392
25731500,262033
25827200,261562
25861600,261393
26037500,260531
26052200,260459
26126900,260093
26177000,259849
26254600,259470
26265300,259418
26299600,259251
26349400,259008
26445800,258539
26480900,258369
26483000,258359
26520600,258177
26605500,257765
26611600,257736
26830700,256677
26839600,256634
26873700,256469
26876500,256456
26914300,256274
27042500,255657
27135900,255209
27180500,254995
27182500,254986
27233200,254743
27308000,254385
27398000,253956
27486600,253533
27532300,253316
27626900,252865
27660100,252708
27836300,251873
27882100,251656
27922300,251466
28020700,251002
28184400,250231
28186100,250223
28188200,250213
28414400,249152
28446600,249001
28492200,248788
28537900,248574
28576800,248393
28665000,247982
28808100,247316
28842000,247158
28844000,247149
28970600,246562
28970900,246561
29191800,245540
29193800,245530
29201800,245493
29497800,244132
29499900,244122
29595500,243684
29847700,242533
29849600,242524
29989200,241889
30150600,241156
30153600,241142
30199400,240935
30382900,240106
30503500,239563
30505400,239554
30676800,238784
30776600,238336
30853300,237993
30855300,237984
31070600,237024
31161300,236620
31170300,236580
31203100,236434
31464300,235277
31509100,235079
31511100,235070
31564000,234836
31858100,233543
31858900,233539
31860900,233530
32089000,232532
32166900,232191
32482700,230818
32516800,230670
32864600,229168
32866500,229160
32876400,229117
33172600,227846
33313900,227241
33522400,226353
33707600,225567
33872200,224870
34101300,223905
34440600,222482
34495000,222254
34888800,220616
35282500,218991
35676200,217377
36069900,215775
36244900,215066
36638600,213482
36944800,212257
37382300,210519
37776100,208968
38169800,207428
38563500,205899
39878600,200874
39919700,200719
39921000,200714
39921800,200711
