#alt[cm],e[cm-3]
8044000,3870
8377600,3871
8794200,4353
9043800,5157
9293100,6605
9375400,8913
9540700,13348
9706300,18486
9760700,25603
9898600,34550
10036500,46620
10202300,61290
10451500,80580
10812100,99260
11228700,111630
11756800,114600
12312800,116130
12673900,128900
13062600,146850
13451400,163010
13868400,165170
14257700,165200
14953300,141340
15593300,120920
16261100,103450
16928900,90840
17568700,81870
18236300,73790
19015400,62310
19822400,51940
20733200,41720
20740600,41640
20844000,40620
21010300,39020
21315400,36210
21620300,33480
21631100,33380
21925300,30841
22174800,28823
22451700,26780
22660800,25404
22756400,24832
23005500,23499
23338100,21973
23523300,21177
23643000,20666
24031300,19058
24419500,17599
24469300,17425
25002600,15750
25443100,14526
25697100,13855
26336400,12372
26389000,12268
27087200,11053
27418200,10497
27754700,9894
28308500,8982
28422500,8835
28979000,8246
29115100,8095
29508000,7604
29894000,7202
30286600,6970
30839500,6751
31148600,6620
31840600,6328
32371800,6171
32674800,6087
33372800,5860
33648100,5781
34401500,5639
34426600,5634
35260800,5420
35458000,5383
36067200,5282
36570100,5143
36818000,5081
37679900,4952
37710000,4948
38347300,4826
39016700,4710
39070200,4703
39932100,4644
39989800,4641
