#alt(cm),H+(cm-3)
16526900,0.3192
16716400,0.4331
16930100,0.5751
17095500,0.7803
17308600,1.106
17640300,1.8663
17829200,2.7033
18065800,4.046
18350200,6.258
18538800,9.263
18846800,14.965
19204000,21.685
19680500,34.667
20134400,47.59
20492300,63.9
20994700,83.98
21545200,111.6
21952100,135.89
22430800,172.86
22956900,234.74
23411400,305.15
23889400,414.4
24224200,504.4
24822700,670.4
25230000,790.1
25613600,891.4
26021200,1016.8
26669300,1160.5
27269800,1254.3
28111000,1327.1
29193100,1345.2
30371700,1320.1
31358000,1280.8
32344400,1229.2
33451100,1180
35062700,1146.7
36433700,1125.8
37997100,1105.8
40017100,1123.4
