#alt(cm),O(cm-3),N2(cm-3),CO(cm-3),CO2(cm-3),H(cm-3)
9094800,140660000000,297700000000000,201270000000,8146000000000,809100000
9103300,139000000000,290500000000000,199860000000,10274000000000,787700000
9143600,130970000000,259100000000000,193260000000,28740000000000,694700000
9280600,109530000000,182690000000000,172340000000,401700000000000,486600000
9325000,104670000000,165990000000000,166040000000,730000000000000,440200000
9331500,104020000000,163820000000000,165150000000,788500000000000,434000000
9523300,88350000000,113200000000000,140670000000,2851000000000000,283000000
9608100,82900000000,91880000000000,131130000000,2146000000000000,230000000
9616300,82400000000,89230000000000,130250000000,2094100000000000,225100000
9749300,74960000000,47950000000000,116860000000,1434300000000000,149960000
9852400,69860000000,36890000000000,107630000000,1083000000000000,108280000
9955500,65230000000,29310000000000,99320000000,820700000000000,82590000
10148200,57630000000,19434000000000,86040000000,487400000000000,51070000
10246800,54200000000,15691000000000,80260000000,369900000000000,38530000
10251100,54050000000,15543000000000,80020000000,365400000000000,38050000
10326000,51640000000,13115000000000,76060000000,293600000000000,30660000
10404400,49260000000,10887000000000,72260000000,233800000000000,25040000
10507500,46350000000,8417000000000,67740000000,176600000000000,19856000
10574800,44580000000,7066000000000,65040000000,148530000000000,17220000
10694200,41670000000,5137000000000,60670000000,110210000000000,13414000
10779700,39750000000,4078000000000,57830000000,89230000000000,11145000
10954900,36220000000,2560000000000,52590000000,57810000000000,7272000
11075500,34060000000,1882000000000,49370000000,42640000000000,5257000
11141400,32970000000,1602000000000,47720000000,36010000000000,4409000
11351800,29860000000,986400000000,42850000000,20668000000000,2730000
11377900,29510000000,930900000000,42280000000,19260000000000,2602000
11402100,29190000000,882400000000,41760000000,18029000000000,2493000
11638900,26400000000,524300000000,36960000000,9282000000000,1691100
11677100,26000000000,481600000000,36230000000,8329000000000,1585100
11708100,25690000000,449500000000,35650000000,7630000000000,1501300
11799200,24810000000,366300000000,33960000000,5904000000000,1265500
12064000,22580000000,201630000000,29320000000,2889000000000,764500
12136500,22030000000,171570000000,28090000000,2404000000000,680100
12246400,21239000000,134810000000,26270000000,1841200000000,579000
12404100,20148000000,95980000000,23690000000,1285100000000,464900
12420500,20037000000,92680000000,23420000000,1239200000000,454000
12634300,18609000000,58940000000,19951000000,773200000000,333000
12662100,18423000000,55570000000,19508000000,726400000000,322000
12717700,18053000000,49430000000,18636000000,640200000000,302700
12743900,17878000000,46790000000,18232000000,602500000000,294700
13138900,15189000000,20957000000,12999000000,225400000000,213500
13182000,14887000000,19282000000,12554000000,201940000000,207290
13191300,14822000000,18942000000,12461000000,197240000000,206000
13254000,14380000000,16820000000,11862000000,168480000000,197720
13638700,11602000000,8254000000,8750000000,64570000000,159430
13681900,11285000000,7602000000,8423000000,57820000000,156170
13714200,11048000000,7140000000,8177000000,53220000000,153830
13794200,10464000000,6076000000,7561000000,43330000000,148410
13850400,10057000000,5397000000,7115000000,37530000000,144880
14078700,8476000000,3354000000,5305000000,21500000000,132710
14086000,8428000000,3306000000,5249000000,21136000000,132370
14269800,7281000000,2353000000,3998000000,14171000000,124790
14507000,6003000000,1575700000,2913000000,8823000000,116840
14632800,5428000000,1292600000,2521000000,6928000000,113160
14633800,5424000000,1290700000,2518000000,6915000000,113130
14677000,5243000000,1208600000,2401000000,6369000000,111940
14729800,5036000000,1117300000,2268000000,5763000000,110530
15305100,3409000000,509000000,1248600000,2037800000,98200
15342700,3329000000,484800000,1201700000,1914200000,97600
15426000,3159000000,435200000,1103900000,1672500000,96370
15462500,3088000000,415100000,1063600000,1579000000,95890
15579700,2868000000,356800000,943900000,1321000000,94560
15936800,2285000000,228100000,655900000,787900000,92170
16034800,2145000000,202960000,594000000,681300000,91730
16175300,1958600000,172620000,515900000,550300000,91080
16333000,1768500000,145170000,441600000,431400000,90220
16358800,1739300000,141210000,430600000,414400000,90060
16590300,1499100000,110970000,344800000,288900000,88450
17025300,1144000000,71830000,229600000,147630000,85160
17036300,1136400000,71050000,227200000,145170000,85080
17129900,1074800000,64760000,208420000,125880000,84400
17277600,986000000,55960000,181920000,100690000,83400
17673300,790000000,37990000,126480000,56050000,81210
17925400,689200000,29880000,100270000,38990000,80330
17976400,670600000,28510000,95660000,36260000,80200
18030300,651500000,27130000,91010000,33600000,80080
18088200,631700000,25750000,86250000,30960000,79970
18551400,493900000,17257000,56140000,16204000,79440
18769100,439900000,14288000,45980000,11962000,79300
18930600,403600000,12390000,39740000,9541000,79170
19027900,383100000,11363000,36440000,8328000,79060
19166800,355500000,10039000,32240000,6875000,78880
19190300,351100000,9830000,31590000,6658000,78840
19403100,312800000,8121000,26260000,5018000,78450
19831100,248200000,5461000,18215000,2906000,77430
19881400,241600000,5201000,17452000,2721000,77290
20096800,215700000,4182000,14521000,2025000,76660
20292400,195090000,3421000,12271000,1514300,76040
20456900,179720000,2912000,10634000,1174200,75490
20462200,179250000,2897000,10584000,1164500,75470
20781700,153470000,2163000,7952000,713200,74350
20822000,150520000,2085300,7663000,672000,74200
21171500,127120000,1508700,5526000,412600,72900
21394700,113800000,1192800,4488000,306200,72050
21571000,104000000,990400,3827000,242000,71370
21676600,98430000,894400,3489000,209540,70970
21682000,98150000,889900,3472000,207990,70950
21737000,95350000,846100,3313000,192810,70740
22269900,71570000,534000,2145000,91460,68860
22496900,63240000,439600,1783300,66840,68220
22577100,60530000,409900,1667800,59860,68030
22632800,58730000,390400,1591000,55460,67920
22792700,53860000,338400,1383900,44540,67670
23118700,45210000,250600,1026700,28460,67560
23459800,37770000,182000,745500,17718,67580
23477500,37420000,179010,733400,17286,67570
23599000,35140000,159790,656000,14588,67510
23808800,31580000,131460,542900,10892,67290
23817700,31430000,130380,538600,10759,67280
24183400,26220000,93140,387100,6492,66630
24377800,23870000,78170,323400,4951,66220
24516600,22350000,69270,284200,4067,65920
24701300,20499000,59240,239400,3115,65500
24828100,19336000,52920,213000,2588,65220
25083700,17206000,41810,169020,1776.3,64680
25215400,16201000,37000,150440,1464.8,64420
25342700,15278000,32880,134620,1217.9,64200
25728400,12722000,23110,96620,708.7,63770
25853800,11954000,20663,86750,599.3,63720
25914300,11593000,19587,82330,553.7,63710
25984300,11183000,18422,77470,506.3,63720
26378600,9063000,13117,54350,311.9,63830
26555700,8231000,11277,46300,251.2,63850
26628900,7910000,10592,43380,229.1,63840
26634500,7886000,10541,43160,227.5,63840
26955900,6643000,7987,32600,149.28,63650
27071000,6260000,7227,29520,127.79,63520
27529500,4988000,4855,19879,69.81,62570
27535100,4975000,4831,19782,69.32,62550
27653600,4699000,4362,17851,59.85,62170
28058200,3875000,3075,12544,37.47,60500
28480000,3164000,2119.3,8678,24.03,58630
28485600,3156000,2108.6,8636,23.9,58600
28988100,2465000,1327.4,5585,14.659,57140
29160500,2260000,1131.5,4811,12.486,57050
29380300,2021400,925.4,3978,10.219,57230
29386100,2015400,920.6,3958,10.166,57240
30163600,1353800,467.5,2018.3,5.156,57870
30280900,1276000,424.2,1823.3,4.668,57630
30286700,1272300,422.1,1814.2,4.646,57620
30312800,1255800,413.2,1773.7,4.545,57550
30831300,972800,273.4,1132.5,2.954,55570
31187200,818500,201.79,831.5,2.211,54110
31415100,732500,165.44,681.8,1.8405,53360
31478100,710200,156.56,645.4,1.7499,53190
31731900,626700,125.32,517.2,1.4298,52750
32137700,513200,125.32,363,1.0385,52570
32488000,433300,125.32,270.9,0.7904,52690
32517400,427300,125.32,264.5,0.7726,52700
32832900,368900,125.32,204.26,0.6055,52790
33438700,279800,125.32,124.13,0.381,52520
33477000,274800,125.32,120.29,0.3701,52480
34227400,190370,125.32,120.29,0.21015,51390
34371400,176810,125.32,120.29,0.18867,51100
35423500,103160,125.32,120.29,0.08641,48620
35621700,93710,125.32,120.29,0.07467,48130
36576000,60160,125.32,120.29,0.03715,45950
37115700,46920,125.32,120.29,0.02511,45060
37628300,36840,125.32,120.29,0.017337,44840
38012200,30590,125.32,120.29,0.013151,44830
38730600,21490,125.32,120.29,0.007858,43980
39008200,18753,125.32,120.29,0.006444,43730
39832900,12536,125.32,120.29,0.003583,43730
39904800,12104,125.32,120.29,0.003405,43730
